#level  species density 
#(#)              (cm^-3) 
0       'e- '      111192786968985120.000000
0       'H- '      119723425544.647095
0       'H I'      1281225591658207772672.000000
0       'H II'     110054523417897.781250
0       'C I'      424031282108171840.000000
0       'C II'     54425198370560.000000
0       'Na I'     281096377935.989319
0       'Na II'    2741541905543516.000000
0       'Mg I'     2232358657841853.750000
0       'Mg II'    46454218011791408.000000
0       'Si I'     17749324346858626.000000
0       'Si II'    25171736664528600.000000
0       'K I'      1578985354.981928
0       'K II'     169120213656529.000000
0       'Ca I'     1400395742886.270264
0       'Ca II'    2932606461453434.000000
0       'Cr I'     5464798773705.600586
0       'Cr II'    594148829683883.000000
0       'Fe I'     4034589044052905.500000
0       'Fe II'    31199117756339592.000000
0       'Ni I'     514763164810268.312500
0       'Ni II'    1765818584451500.250000
1       'e- '      129353343111030368.000000
1       'H- '      158385730692.643829
1       'H I'      1490070684844405817344.000000
1       'H II'     141576172772869.562500
1       'C I'      493146309822137984.000000
1       'C II'     67133775499264.000000
1       'Na I'     343855868341.961609
1       'Na II'    3188407713010641.500000
1       'Mg I'     2610141372970294.500000
1       'Mg II'    54012550037030352.000000
1       'Si I'     20605071841587556.000000
1       'Si II'    29312300848807756.000000
1       'K I'      1959995420.405305
1       'K II'     196687389113002.875000
1       'Ca I'     1683606827508.042969
1       'Ca II'    3410578586038320.500000
1       'Cr I'     6500456342889.947266
1       'Cr II'    690852690496065.375000
1       'Fe I'     4694987738162734.000000
1       'Fe II'    36281959992758784.000000
1       'Ni I'     601028773988399.750000
1       'Ni II'    2051297297322156.750000
2       'e- '      164548826311418304.000000
2       'H- '      246471075782.349915
2       'H I'      1891892938679864262656.000000
2       'H II'     214379477990662.218750
2       'C I'      626121794834345728.000000
2       'C II'     94838909878528.000000
2       'Na I'     470121617631.609863
2       'Na II'    4048181226456808.500000
2       'Mg I'     3313292658574039.500000
2       'Mg II'    68578647167046872.000000
2       'Si I'     25937692581548172.000000
2       'Si II'    37440728054196576.000000
2       'K I'      2745317176.379907
2       'K II'     249727150919190.968750
2       'Ca I'     2236810580511.189941
2       'Ca II'    4330198510489801.500000
2       'Cr I'     8486530400605.416016
2       'Cr II'    876919465346515.250000
2       'Fe I'     5916956811802984.000000
2       'Fe II'    46110104904106888.000000
2       'Ni I'     762466645994130.625000
2       'Ni II'    2605103166890217.000000
3       'e- '      202549231455559968.000000
3       'H- '      362764095906.984863
3       'H I'      2330603259822099136512.000000
3       'H II'     299314191842428.437500
3       'C I'      771304505736449792.000000
3       'C II'     125272457737472.000000
3       'Na I'     623984407891.696777
3       'Na II'    4986867632920085.000000
3       'Mg I'     4141591190272993.000000
3       'Mg II'    84421344070691104.000000
3       'Si I'     32024630897675384.000000
3       'Si II'    46050588345542968.000000
3       'K I'      3714882924.857558
3       'K II'     307635954970950.375000
3       'Ca I'     2901690662351.407715
3       'Ca II'    5334180460590485.000000
3       'Cr I'     10854660318265.734375
3       'Cr II'    1079867805527292.000000
3       'Fe I'     7345973547144577.000000
3       'Fe II'    56745624339079440.000000
3       'Ni I'     949935877972156.875000
3       'Ni II'    3198538457936160.500000
4       'e- '      245090971909862304.000000
4       'H- '      517881960294.026917
4       'H I'      2824119509992111341568.000000
4       'H II'     403626901297511.687500
4       'C I'      934622923896137472.000000
4       'C II'     160767683174528.000000
4       'Na I'     812210621953.877197
4       'Na II'    6042804405630999.000000
4       'Mg I'     5108313650212372.000000
4       'Mg II'    102208243086989616.000000
4       'Si I'     38997208567482912.000000
4       'Si II'    55610808556103040.000000
4       'K I'      4919667096.297283
4       'K II'     372778908998973.687500
4       'Ca I'     3700518252833.651855
4       'Ca II'    6463534085120654.000000
4       'Cr I'     13668476698510.798828
4       'Cr II'    1308019643117555.750000
4       'Fe I'     9002710032792039.000000
4       'Fe II'    68660587605972552.000000
4       'Ni I'     1167129431622678.000000
4       'Ni II'    3859804015540993.000000
5       'e- '      293229953871491456.000000
5       'H- '      724284846214.586060
5       'H I'      3384428824115368427520.000000
5       'H II'     532986455609339.437500
5       'C I'      1120043365615879808.000000
5       'C II'     202751824562432.000000
5       'Na I'     1042572927621.008789
5       'Na II'    7241636252820252.000000
5       'Mg I'     6236650349305780.000000
5       'Mg II'    122371665248086384.000000
5       'Si I'     47009461960137824.000000
5       'Si II'    66368921527036848.000000
5       'K I'      6417013853.511520
5       'K II'     446738258219192.875000
5       'Ca I'     4660708563724.047852
5       'Ca II'    7745682520858067.000000
5       'Cr I'     17012997442766.343750
5       'Cr II'    1566899942019853.000000
5       'Fe I'     10924265700042366.000000
5       'Fe II'    82147541640175648.000000
5       'Ni I'     1419150138844701.250000
5       'Ni II'    4605134118085773.000000
6       'e- '      348230334847522432.000000
6       'H- '      998690734810.463867
6       'H I'      4025141365190737002496.000000
6       'H II'     696544856644316.875000
6       'C I'      1332068528925379072.000000
6       'C II'     253493839669504.000000
6       'Na I'     1323631362366.377441
6       'Na II'    8612480382889004.000000
6       'Mg I'     7545110111041281.000000
6       'Mg II'    145410288272861568.000000
6       'Si I'     56197023820948584.000000
6       'Si II'    78645235280649984.000000
6       'K I'      8273615832.059873
6       'K II'     531310478665093.562500
6       'Ca I'     5809913617904.092773
6       'Ca II'    9211765410043610.000000
6       'Cr I'     20968047379572.082031
6       'Cr II'    1862798437980073.500000
6       'Fe I'     13139354442306854.000000
6       'Fe II'    97552052282886000.000000
6       'Ni I'     1710382198552445.500000
6       'Ni II'    5454370673114582.000000
7       'e- '      411307967455710272.000000
7       'H- '      1363008902186.373291
7       'H I'      4760855988885238317056.000000
